"date","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"'1975m3'","0.735331241","1.18352047","0.872266762","1.036392642","1.102068426","1.092445526","0.782162354","0.740534717","0.559884942","1.158561007","-0.315782521","-0.060521595","-0.189328965","-0.033632331","-0.08079903","0.110277982","-0.35379019","-0.371924169","-0.258520993","-0.18872476","0.104391338","0.345995937","0.234967505","0.082325664","0.037570808","-0.658185402","-0.068490051","-0.046562515","0.349235338","0.501169976","0.050799429","-0.090535883","0.085762689","-0.105642205","-0.049045921","-0.19331067","0.051295688","-0.062899033","0.10045996","-0.069774617"
"'1975m4'","0.73241373","1.184362965","0.872650056","1.036393595","1.102068427","1.091387738","0.763334689","0.735413981","0.55981503","1.157458395","-0.315778313","-0.060552087","-0.189434612","-0.03363238","-0.08079903","0.110277982","-0.353724065","-0.369135538","-0.258040032","-0.187133312","0.10589129","0.325516208","0.227404202","0.082297619","0.03745421","-0.658185402","-0.065019999","-0.045695624","0.353734686","0.513801336","0.047485946","-0.09053588","0.103541682","-0.105602886","-0.049045921","-0.195471086","0.016463719","-0.080449125","0.100459942","-0.088710276"
"'1975m5'","0.743514771","1.183832419","0.874221547","1.036144879","1.102068427","1.080050293","0.789938562","0.733358242","0.560052857","1.159233229","-0.315680023","-0.060669441","-0.186723025","-0.03371237","-0.08079903","0.110277973","-0.353139742","-0.375977557","-0.248104958","-0.17097371","0.088626158","0.36426927","0.133427316","0.104459898","0.037473372","-0.658185391","-0.080040264","-0.044641905","0.307771982","0.451951455","0.043648668","-0.090535879","0.08176243","-0.102506989","-0.049045921","-0.188753715","0.001257419","-0.078427734","0.100459924","-0.097901362"
"'1975m6'","0.729530624","1.183506751","0.874375488","1.036228286","1.102068433","1.067412104","0.764388058","0.736331264","0.560322943","1.159503364","-0.315705132","-0.060685345","-0.186663961","-0.033706369","-0.080799029","0.11027797","-0.353243204","-0.373933591","-0.245644367","-0.170427545","0.08090168","0.356583177","0.136375804","0.106812203","0.038187694","-0.658185395","-0.085658514","-0.044106001","0.324982558","0.454940037","0.04311112","-0.090535879","0.08198608","-0.102400633","-0.049045921","-0.189619715","-0.000466622","-0.07806353","0.100459926","-0.097751926"
"'1975m7'","0.756382674","1.182791587","0.87414863","1.036091089","1.102068445","1.075363153","0.846618692","0.729162951","0.560477439","1.16059466","-0.315848697","-0.06059736","-0.186444998","-0.033681646","-0.080799034","0.110277966","-0.3544183","-0.36072916","-0.24919561","-0.175935584","0.067401831","0.37318023","0.140658317","0.110645823","0.03689322","-0.658185398","-0.100974684","-0.04289555","0.315373798","0.443035077","0.036468358","-0.090535878","0.084180714","-0.101219797","-0.049045922","-0.19303416","-0.03503928","-0.072826558","0.100459917","-0.10169771"
"'1975m8'","0.776304109","1.181875105","0.874000159","1.035958888","1.102068444","1.076990299","0.883389463","0.740247162","0.560501167","1.163570424","-0.315556632","-0.060898803","-0.186823763","-0.033744264","-0.080799035","0.110277969","-0.352947723","-0.305600235","-0.247724198","-0.13745163","0.081400855","0.347548475","0.137304235","0.106246799","0.036766231","-0.658185397","-0.090183312","-0.04054073","0.317155735","0.480921434","0.040298955","-0.090535879","0.083224059","-0.101971448","-0.049045922","-0.192524652","-0.021573546","-0.067098459","0.100459918","-0.094790603"
"'1975m9'","0.787311165","1.183274889","0.873231665","1.035852355","1.102068445","1.066764263","0.926770073","0.730979613","0.560485224","1.165311719","-0.315552966","-0.060885688","-0.186880992","-0.033745751","-0.080799035","0.110277968","-0.352916005","-0.306767572","-0.247751828","-0.136786837","0.079806026","0.33721205","0.14188081","0.107187631","0.036746132","-0.658185396","-0.092286332","-0.040062966","0.317472077","0.474990086","0.037110973","-0.09053588","0.091791913","-0.100915041","-0.049045922","-0.187442034","-0.043213036","-0.05930078","0.100459919","-0.102019561"
"'1975m10'","0.851171917","1.183489301","0.869155643","1.038133935","1.102068454","1.08073553","1.014569278","0.739478439","0.560773164","1.163706395","-0.316206812","-0.060934","-0.179718434","-0.034492371","-0.080799043","0.110277955","-0.355390746","-0.33548206","-0.259885318","-0.12240433","0.089657594","0.338313712","0.124604213","0.121363756","0.036960598","-0.658185395","-0.086034808","-0.039671607","0.321472651","0.470776397","0.031514364","-0.09053588","0.107731464","-0.108891283","-0.049045922","-0.189776377","-0.054586853","-0.061561345","0.100459913","-0.099757557"
"'1975m11'","0.862783834","1.183056486","0.867560662","1.038497447","1.102068447","1.083287962","1.028012304","0.741283362","0.560809071","1.165284801","-0.316272583","-0.06087696","-0.178084104","-0.034561618","-0.080799039","0.110277954","-0.355590862","-0.338959379","-0.260773135","-0.130481896","0.109701557","0.309289605","0.036801879","0.150714758","0.034826174","-0.658185393","-0.076165318","-0.038690758","0.327981703","0.521877409","0.023290847","-0.090535879","0.148176656","-0.117057893","-0.049045921","-0.192716815","-0.072070009","-0.065198635","0.100459908","-0.114945375"
"'1975m12'","0.879611496","1.182788266","0.866967166","1.038534594","1.10206846","1.080792011","1.06593634","0.738472428","0.560785643","1.16628352","-0.316154461","-0.060913282","-0.178697741","-0.034554508","-0.080799033","0.110277953","-0.354796897","-0.344697821","-0.26136727","-0.125555894","0.068771411","0.335044636","0.082530649","0.14650833","0.029013145","-0.658185389","-0.114571496","-0.036647335","0.334036882","0.479244835","0.028978406","-0.09053588","0.142098315","-0.116723485","-0.04904592","-0.194040698","-0.046663886","-0.06757257","0.100459906","-0.111379539"
"'1976m1'","0.828712797","1.185546405","0.862624797","1.036116236","1.10206861","1.182282024","0.984588583","0.754298225","0.560410904","1.155731171","-0.316464718","-0.060576059","-0.182717278","-0.034979671","-0.080798971","0.110278003","-0.356187308","-0.317671126","-0.269680989","-0.17460059","-0.008986183","0.503409096","-0.128686715","-0.026337521","0.072951198","-0.6581853","-0.165538786","-0.02915618","0.272010667","0.19161913","-0.051439435","-0.090535868","-0.091363494","-0.233269221","-0.049045866","0.06005787","-0.278934877","-0.002444804","0.100459792","-0.320515211"
"'1976m2'","0.849089985","1.185769104","0.863793671","1.035731551","1.10206861","1.182617017","1.008872729","0.749814512","0.560595459","1.155623369","-0.317538313","-0.060727222","-0.18910775","-0.034645595","-0.080798973","0.110278018","-0.362415725","-0.214824779","-0.302478003","-0.172522619","-0.126610884","0.475752567","-0.250505473","0.021456684","0.072547252","-0.658185287","-0.273545382","-0.017578833","0.177454116","0.195571072","-0.032186903","-0.090535867","-0.044782008","-0.247431673","-0.049045866","0.063862442","-0.254646552","-0.018263798","0.100459831","-0.322437241"
"'1976m3'","0.843022158","1.184729849","0.866116778","1.036706002","1.102068605","1.176582659","1.027537964","0.745193238","0.56054684","1.154453566","-0.317483404","-0.060573073","-0.191925044","-0.034863974","-0.08079897","0.110278023","-0.362937403","-0.205818174","-0.30122801","-0.166223085","-0.124474468","0.476565217","-0.25504332","0.019028348","0.072563705","-0.658185286","-0.277679473","-0.017669955","0.177232558","0.19454777","-0.032382871","-0.090535868","-0.021007089","-0.238163931","-0.049045866","0.0621631","-0.258800092","-0.021870187","0.100459828","-0.32735855"
"'1976m4'","0.850798623","1.184237069","0.865146703","1.037367811","1.102068591","1.181983138","1.05208818","0.737337973","0.560519508","1.156809217","-0.31747854","-0.060575113","-0.192031533","-0.034853712","-0.08079897","0.110278023","-0.362832674","-0.207493044","-0.301253529","-0.165344763","-0.124734627","0.475668385","-0.261432009","0.024032073","0.072345221","-0.658185286","-0.276733741","-0.017965711","0.177055982","0.201023106","-0.045568996","-0.090535866","0.015706426","-0.262504027","-0.049045861","0.049478386","-0.321854668","0.006526833","0.100459836","-0.363510592"
"'1976m5'","0.85536979","1.18426296","0.864682936","1.037749619","1.102068597","1.179842675","1.059967987","0.742910997","0.560604182","1.157115603","-0.31739683","-0.06056756","-0.193585177","-0.034639727","-0.080798965","0.11027802","-0.362312659","-0.179738069","-0.296863188","-0.160787484","-0.113934438","0.477851726","-0.300571301","0.068423272","0.07486229","-0.658185289","-0.268164269","-0.014283729","0.196012116","0.21400969","-0.019803028","-0.090535866","-0.092734271","-0.18930309","-0.049045856","0.035105691","-0.215750662","0.085758691","0.100459905","-0.337191821"
"'1976m6'","0.868992184","1.180523462","0.866147598","1.035955226","1.102068624","1.201189504","1.041267547","0.741391918","0.560723378","1.158416308","-0.317478998","-0.060114335","-0.194846606","-0.034336133","-0.080798974","0.11027801","-0.362038771","-0.177866071","-0.299270154","-0.166201661","-0.11209951","0.440560302","-0.286168024","0.045152078","0.076621403","-0.658185285","-0.269434567","-0.014497715","0.200165074","0.222155277","-0.03068281","-0.09053586","-0.116786073","-0.160707246","-0.049045859","0.015445308","-0.191403861","0.087672834","0.100459893","-0.345725337"
"'1976m7'","0.856808226","1.181150016","0.865903491","1.036448564","1.102068625","1.202817951","1.025359368","0.735279423","0.560592589","1.155974167","-0.317493132","-0.060096922","-0.194898578","-0.03430997","-0.080798974","0.11027801","-0.362032131","-0.172196057","-0.299355068","-0.169349155","-0.080416763","0.400832807","-0.272402035","0.008664377","0.076220867","-0.658185289","-0.245854623","-0.007406068","0.228031458","0.293054585","-0.038735207","-0.090535858","-0.123009181","-0.148729127","-0.049045859","0.01629117","-0.20475594","0.080246613","0.100459874","-0.36972101"
"'1976m8'","0.858416833","1.181535613","0.865996331","1.036323562","1.102068631","1.202995172","1.025326015","0.733236532","0.560527184","1.155747121","-0.31739127","-0.059773535","-0.194008951","-0.034505779","-0.080798952","0.110278011","-0.362041953","-0.229067997","-0.309759372","-0.177265227","-0.086105507","0.377853267","-0.281748612","0.022357716","0.073030953","-0.65818529","-0.245735249","8.00E-5","0.242716948","0.304009341","-0.026882661","-0.090535853","-0.101418022","-0.172015031","-0.04904585","0.018804398","-0.205435279","0.019056033","0.100459806","-0.38484067"
"'1976m9'","0.841748185","1.181046749","0.867952409","1.036198842","1.102068619","1.200547676","1.010275452","0.732913424","0.560732793","1.15377882","-0.317394357","-0.059777114","-0.193987387","-0.034506515","-0.080798952","0.110278011","-0.362037744","-0.229028909","-0.309584552","-0.177531683","-0.078146605","0.382067112","-0.298664759","0.023781001","0.073681491","-0.658185289","-0.241807431","0.000130829","0.237425865","0.313239802","-0.032829934","-0.090535854","-0.070405629","-0.173864065","-0.049045851","0.017274115","-0.212553332","0.0187223","0.100459827","-0.396623881"
"'1976m10'","0.847822063","1.180276719","0.868747822","1.035649887","1.102068624","1.208631672","1.029164318","0.713008568","0.560747841","1.149936496","-0.317408104","-0.059750343","-0.194278174","-0.034471339","-0.080798952","0.110278009","-0.362187015","-0.216791895","-0.309674338","-0.171425507","-0.07878474","0.379604819","-0.298245885","0.022929829","0.073776103","-0.658185289","-0.243499654","0.000285389","0.237589881","0.310371418","-0.028566153","-0.090535855","-0.049747917","-0.186909424","-0.04904585","0.02712582","-0.192030794","-0.022692352","0.100459829","-0.435274117"
"'1976m11'","0.847505226","1.180279141","0.868742428","1.035636546","1.102068621","1.208707993","1.059637234","0.711702464","0.560755065","1.1493744","-0.317387972","-0.06009312","-0.19425511","-0.034456949","-0.08079898","0.110278008","-0.364051552","-0.20047382","-0.299162631","-0.157613347","-0.077158929","0.325142052","-0.297940343","0.024517559","0.066733849","-0.65818529","-0.265293072","0.001406889","0.262898099","0.33160842","-0.019756106","-0.090535873","-0.047621336","-0.180705438","-0.049045884","0.01701055","-0.841984927","0.04294347","0.100460042","-0.336670086"
"'1976m12'","0.82356777","1.180860339","0.871443894","1.034421976","1.102068582","1.168136983","1.074263018","0.706253198","0.561220036","1.149665356","-0.317572551","-0.060008033","-0.191327922","-0.034703542","-0.080799001","0.110277981","-0.363727242","-0.211461504","-0.286715015","-0.156167334","-0.092782132","0.34108978","-0.241550284","-0.012494119","0.060778481","-0.658185309","-0.261377169","0.000380025","0.298308029","0.334680261","-0.024940224","-0.090535873","-0.022957924","-0.19104177","-0.049045889","-0.01166694","-0.83815222","0.040397912","0.10046008","-0.336100649"
"'1977m1'","0.855723825","1.185632209","0.865349551","1.037010724","1.102068641","1.150850556","1.032681614","0.677854097","0.560795687","1.151492918","-0.317887734","-0.060941661","-0.185870458","-0.035162731","-0.080799064","0.110278002","-0.362761819","-0.142410344","-0.269941747","-0.163417051","-0.140791261","0.112310496","-0.09229906","-0.109377037","0.038668025","-0.658185289","-0.235806795","0.010822254","0.359356409","0.311216712","-0.111703528","-0.090535907","0.297182275","-0.322488449","-0.049045939","0.083447556","-0.679604906","0.205931565","0.100460314","-0.370312516"
"'1977m2'","0.859571931","1.185135892","0.866960721","1.037686464","1.102068625","1.149775042","1.009059415","0.67198926","0.561039667","1.152724179","-0.317919041","-0.060874692","-0.187363969","-0.035280866","-0.080799055","0.110278002","-0.362161551","-0.131931104","-0.275913217","-0.168569975","-0.142483829","0.118671259","-0.103740043","-0.116694052","0.040159376","-0.658185288","-0.231107524","0.011192594","0.351178787","0.307897663","-0.113227693","-0.090535906","0.2817561","-0.328864016","-0.049045937","0.084623365","-0.669189164","0.208738985","0.10046029","-0.372832754"
"'1977m3'","0.861752112","1.184740973","0.866853617","1.039044333","1.102068607","1.146547133","1.007079017","0.671934287","0.560980216","1.152385971","-0.317934875","-0.06082738","-0.187279624","-0.035473372","-0.080799043","0.110278005","-0.36211523","-0.131815243","-0.274435415","-0.167417787","-0.145579298","0.133695805","-0.100749043","-0.170526009","0.045045943","-0.658185285","-0.229710681","0.011214684","0.357908593","0.312893785","-0.114459022","-0.090535905","0.283010468","-0.342398023","-0.049045931","0.091065985","-0.667436856","0.208822924","0.100460298","-0.372016731"
"'1977m4'","0.863342636","1.184743504","0.867031391","1.039096297","1.102068608","1.144461364","1.010040917","0.67148715","0.56098042","1.152870049","-0.318094372","-0.060808797","-0.189695346","-0.03562345","-0.080799052","0.110278024","-0.362720875","-0.120949208","-0.274296705","-0.203223537","-0.132925528","0.125934392","-0.073562847","-0.155119437","0.070198788","-0.658185314","-0.226912919","0.009117261","0.356408509","0.380913947","-0.071376637","-0.090535907","0.389357365","-0.306460445","-0.049045854","-0.124477934","-0.613272803","0.161644233","0.100460291","-0.220142666"
"'1977m5'","0.866635664","1.186517932","0.866958773","1.039752699","1.102068588","1.150377944","0.99835395","0.667320659","0.560826654","1.150853476","-0.318121247","-0.061137531","-0.189619696","-0.035759565","-0.080799036","0.11027802","-0.362481235","-0.114234726","-0.269035798","-0.192731007","-0.132286928","0.078088788","-0.074338735","-0.150538767","0.074290009","-0.658185314","-0.232273382","0.008442232","0.36859691","0.369782182","-0.084789459","-0.090535931","0.396123255","-0.368343266","-0.049045828","-0.164024147","-0.557781522","0.196799437","0.100460443","-0.142973886"
"'1977m6'","0.90931389","1.180591181","0.869990167","1.041537449","1.102068527","1.165666801","1.129062731","0.640459336","0.561443073","1.15784114","-0.317788901","-0.062025759","-0.18696036","-0.035446472","-0.080799065","0.110278028","-0.359781717","-0.149715443","-0.253863034","-0.164678242","-0.161300539","0.119462434","-0.122061377","-0.185896237","0.077425602","-0.658185321","-0.288208216","0.016438816","0.351460917","0.307074242","-0.02782123","-0.090535961","0.479641903","-0.314872335","-0.049045852","-0.136969185","-0.376137349","0.144915529","0.100460646","-0.065425353"
"'1977m7'","0.882138302","1.181732525","0.870119805","1.041840285","1.102068553","1.154853987","1.1015099","0.638652478","0.561176361","1.15413692","-0.317065236","-0.062499445","-0.187332275","-0.035613045","-0.080799101","0.110278047","-0.357535343","-0.141364422","-0.235887781","-0.119656378","-0.19006752","0.140914184","-0.119260445","-0.177330382","0.081011243","-0.658185327","-0.305483418","0.015611766","0.332014148","0.25825431","-0.001675456","-0.090535965","0.477280334","-0.321241892","-0.049045858","-0.126976","-0.349452433","0.144457949","0.100460692","-0.046486998"
"'1977m8'","0.852207965","1.182444977","0.872531628","1.040526503","1.102068547","1.154486339","1.055241127","0.648907293","0.561257873","1.151814022","-0.316192364","-0.062786195","-0.195493241","-0.034789644","-0.080799095","0.110278048","-0.353059987","-0.19362606","-0.240965961","-0.088054999","-0.279059472","0.202679699","0.030563056","-0.290045318","0.077205134","-0.658185328","-0.375660393","0.027230012","0.355508681","0.174718836","-0.06003156","-0.090535961","0.573206466","-0.366113593","-0.049045863","-0.128879944","-0.494629459","0.227817685","0.100460741","-0.086173328"
"'1977m9'","0.851231237","1.182538802","0.872469238","1.040349287","1.102068549","1.157255739","1.054031264","0.64331906","0.561234807","1.152203867","-0.316143387","-0.062973607","-0.19518047","-0.034594974","-0.080799107","0.110278038","-0.352944395","-0.148100384","-0.233254442","-0.09712997","-0.286143636","0.212371407","0.021077244","-0.326226264","0.078644762","-0.658185316","-0.379870112","0.012423262","0.346625104","0.207550309","-0.042874304","-0.090535971","0.594665661","-0.29697885","-0.04904588","-0.193351151","-0.476688886","0.388159227","0.100460921","-0.146198585"
"'1977m10'","0.88022058","1.18236427","0.87178662","1.040806147","1.102068537","1.133411743","1.011216454","0.683318656","0.561651321","1.152243707","-0.316291045","-0.062962038","-0.194731181","-0.034650785","-0.080799104","0.110278049","-0.352250204","-0.19152927","-0.238109375","-0.097243771","-0.312125906","0.215713486","0.033643286","-0.337625488","0.080365913","-0.658185302","-0.359544082","-0.000555643","0.321952236","0.207149246","-0.033534121","-0.090535971","0.588896333","-0.292518968","-0.04904588","-0.194901814","-0.485151718","0.408241914","0.100460967","-0.146011018"
"'1977m11'","0.89541355","1.179749278","0.86893137","1.038499318","1.10206851","1.110362086","1.051937059","0.647048983","0.562046296","1.156617212","-0.315994308","-0.06368222","-0.200204831","-0.035501518","-0.08079913","0.110278019","-0.34966642","-0.304522421","-0.220492126","-0.06365188","-0.314204842","0.204067518","0.047394182","-0.326054809","0.079467115","-0.658185299","-0.364170144","0.00381937","0.324962105","0.19778365","-0.005935972","-0.090535988","0.483906628","-0.379981313","-0.049045895","-0.258960068","-0.388140577","0.308845523","0.100461127","-0.091258414"
"'1977m12'","0.895952138","1.179792681","0.868950312","1.03861392","1.102068508","1.110426394","1.050967919","0.646185509","0.562035564","1.157025779","-0.316054523","-0.063612283","-0.200306753","-0.035672127","-0.08079914","0.110278028","-0.349575053","-0.289090814","-0.223485732","-0.072097867","-0.30738863","0.201107962","0.049871427","-0.301257659","0.080434469","-0.658185307","-0.367251872","-0.000411526","0.327931088","0.223216311","-0.024473978","-0.090535984","0.477425241","-0.43320843","-0.049045907","-0.21128459","-0.37170349","0.360222318","0.100461068","-0.14285481"
"'1978m1'","0.875015266","1.183649855","0.870995909","1.041553317","1.102068525","1.047256908","0.911416705","0.647896355","0.562648684","1.154583359","-0.315843709","-0.063934616","-0.20246533","-0.036243512","-0.080799146","0.110278069","-0.344706401","-0.291833877","-0.232075507","-0.061495623","-0.277015061","0.090014536","-0.010819822","-0.420558602","0.077035161","-0.658185249","-0.261436187","-0.001234574","0.27527903","0.263129667","-0.036331187","-0.090535972","0.509078119","-0.382608293","-0.049045904","-0.238321883","-0.429392385","0.36244244","0.1004612","-0.163638077"
"'1978m2'","0.863905939","1.185248133","0.872211285","1.041157671","1.102068516","1.067075572","0.905185209","0.628917905","0.562660122","1.153104864","-0.315396703","-0.06536537","-0.206584703","-0.03596657","-0.080799123","0.110278014","-0.344085079","-0.157400374","-0.233623958","-0.038067261","-0.274532498","0.039551337","-0.020779304","-0.415307819","0.078828755","-0.658185254","-0.261501524","-0.002553735","0.274453494","0.267634813","0.008903628","-0.090536001","0.439547669","-0.357952298","-0.049045893","-0.354693342","-0.399300113","0.489962955","0.100461187","-0.128119816"
"'1978m3'","0.869743244","1.186733852","0.872181591","1.042362435","1.102068518","1.02292258","0.930935377","0.632611588","0.562691682","1.154726447","-0.315248737","-0.064926429","-0.206645366","-0.03549612","-0.080799121","0.110277929","-0.341896319","-0.144570452","-0.232140503","-0.026938105","-0.267855245","0.067523327","-0.021180069","-0.39287502","0.079081308","-0.658185286","-0.242424671","-0.001695714","0.276055886","0.276929468","0.015638288","-0.090535995","0.43888114","-0.33047303","-0.049045892","-0.465589818","-0.3545742","0.494796798","0.100461195","-0.119347887"
"'1978m4'","0.896043449","1.193469182","0.871635509","1.047327979","1.102068833","1.091266492","0.964821728","0.568935651","0.560331066","1.167003642","-0.315162289","-0.064481721","-0.206792318","-0.035178317","-0.080799092","0.110277931","-0.341616357","-0.15233212","-0.25006982","-0.012422387","-0.296525018","-0.087418077","-0.008561888","-0.549391357","0.02843976","-0.658185336","-0.261015532","0.023700739","0.447978074","0.119597803","0.026747716","-0.090535976","0.432188808","-0.261703038","-0.049045848","-0.440396556","-0.343119261","0.460023808","0.100460824","-0.060173889"
"'1978m5'","0.896676302","1.192182654","0.872048333","1.047613657","1.102068873","1.085349382","0.957822063","0.562207264","0.560349227","1.167325238","-0.314257105","-0.065818047","-0.213381248","-0.036584892","-0.080798977","0.11027789","-0.33648067","-0.306211","-0.247168799","-0.030989662","-0.319931956","-0.063867873","0.022010054","-0.508990513","0.023184582","-0.658185323","-0.294706019","0.041007557","0.44624932","0.133577674","0.135715724","-0.090536009","0.280193995","-0.426817009","-0.04904578","-0.543197732","-0.014167672","0.257710635","0.100460853","-0.09973583"
"'1978m6'","0.881426176","1.192510848","0.874579267","1.047579713","1.102068845","1.068693201","0.928801513","0.56751056","0.560187526","1.166824182","-0.31429369","-0.065934504","-0.21240325","-0.036586366","-0.080798947","0.110277894","-0.337588083","-0.30571221","-0.240071624","-0.031429093","-0.3232776","-0.069566212","0.010534948","-0.508771493","0.026734233","-0.658185324","-0.300248874","0.041131038","0.453371253","0.134853453","0.199003354","-0.090536017","0.157258868","-0.425014968","-0.049045732","-0.439845858","0.124222714","0.218633506","0.100461075","-0.088503992"
"'1978m7'","0.850935015","1.197714769","0.873161472","1.048836339","1.102068971","1.110941094","0.917243692","0.539865821","0.56017679","1.164942072","-0.313673141","-0.065760694","-0.209278261","-0.037058702","-0.080798937","0.110277859","-0.336546351","-0.244287328","-0.240116324","-0.017677633","-0.303186703","-0.121896364","0.034693487","-0.537911043","0.017126591","-0.658185349","-0.297473775","0.048386493","0.453726943","0.149716423","0.081393005","-0.090535956","0.055329451","-0.332673227","-0.049045624","-0.23754824","0.07162232","-0.018905839","0.100461067","-0.156698409"
