edate,Var_mkt
1926m7,.0028930074
1926m8,.002575896
1926m9,.0022908431
1926m10,.0020065713
1926m11,.0019838186
1926m12,.001785727
1927m1,.001622853
1927m2,.0014499956
1927m3,.0014494543
1927m4,.0012997393
1927m5,.0011689301
1927m6,.0013490762
1927m7,.0013416662
1927m8,.0017683655
1927m9,.0015817827
1927m10,.0016183727
1927m11,.0017882359
1927m12,.0020326655
1928m1,.0018089002
1928m2,.0016265145
1928m3,.0015272074
1928m4,.0022285001
1928m5,.0021112182
1928m6,.0018595946
1928m7,.0020702763
1928m8,.0018182655
1928m9,.0020737974
1928m10,.0018797826
1928m11,.0016609831
1928m12,.003113383
1929m1,.0027008923
1929m2,.0025524411
1929m3,.0022421856
1929m4,.0020012103
1929m5,.0017650727
1929m6,.0022574312
1929m7,.0030485264
1929m8,.0028255112
1929m9,.0031932229
1929m10,.0032957767
1929m11,.0087634604
1929m12,.009942838
1930m1,.0084671564
1930m2,.007531397
1930m3,.0064671431
1930m4,.0060672425
1930m5,.0053017111
1930m6,.0046268357
1930m7,.0079108346
1930m8,.006897721
1930m9,.005896071
1930m10,.0075260811
1930m11,.0076616486
1930m12,.0067361151
1931m1,.0067611933
1931m2,.0061787898
1931m3,.0066616172
1931m4,.0063984827
1931m5,.0070398087
1931m6,.0086741634
1931m7,.009714935
1931m8,.0090134274
1931m9,.0076806787
1931m10,.018655876
1931m11,.016528228
1931m12,.015339375
1932m1,.015791126
1932m2,.013475928
1932m3,.011740159
1932m4,.011927455
1932m5,.014891553
1932m6,.018774208
1932m7,.015948044
1932m8,.028295673
1932m9,.041735567
1932m10,.035488315
1932m11,.032661583
1932m12,.028242243
1933m1,.024086092
1933m2,.020404661
1933m3,.020768434
1933m4,.017685689
1933m5,.034577876
1933m6,.035015613
1933m7,.031678721
1933m8,.028279057
1933m9,.025654458
1933m10,.023495311
1933m11,.021035273
1933m12,.018965259
1934m1,.016093804
1934m2,.015540148
1934m3,.013334504
1934m4,.011332867
1934m5,.0097266911
1934m6,.0091549512
1934m7,.0078443456
1934m8,.0085586552
1934m9,.0076047373
1934m10,.0065037198
1934m11,.0056414739
1934m12,.0056004939
1935m1,.0048003085
1935m2,.0043655494
1935m3,.0038562231
1935m4,.0035957196
1935m5,.0040296065
1935m6,.0035687303
1935m7,.0034396118
1935m8,.003583841
1935m9,.0031421692
1935m10,.0027683466
1935m11,.0029331488
1935m12,.0027721538
1936m1,.002602272
1936m2,.0027696167
1936m3,.0024471756
1936m4,.0021365453
1936m5,.0029521673
1936m6,.0028237689
1936m7,.0024888641
1936m8,.0026382713
1936m9,.0022978529
1936m10,.002010447
1936m11,.0023086795
1936m12,.002102124
1937m1,.0018493251
1937m2,.0017198209
1937m3,.0015232429
1937m4,.0013713448
1937m5,.0021261275
1937m6,.0019005645
1937m7,.0020127818
1937m8,.0026601946
1937m9,.0027476042
1937m10,.0051932409
1937m11,.0059165452
1937m12,.0061843749
1938m1,.0056328941
1938m2,.0048263692
1938m3,.0044888156
1938m4,.012047333
1938m5,.012783487
1938m6,.011149826
1938m7,.016681422
1938m8,.014731011
1938m9,.012667017
1938m10,.010762775
1938m11,.0098192664
1938m12,.0084442133
1939m1,.00735432
1939m2,.0068944301
1939m3,.0059898989
1939m4,.0073348582
1939m5,.0062745628
1939m6,.005854737
1939m7,.0055156704
1939m8,.0059328554
1939m9,.0058329753
1939m10,.0084927082
1939m11,.0072627761
1939m12,.0064640488
1940m1,.0055944473
1940m2,.0049312552
1940m3,.0042385515
1940m4,.0036695471
1940m5,.0031722598
1940m6,.0097390367
1940m7,.0087582758
1940m8,.0075391415
1940m9,.0064606629
1940m10,.0055584004
1940m11,.004829369
1940m12,.0042248429
1941m1,.0036367159
1941m2,.0034729121
1941m3,.0030685829
1941m4,.002660587
1941m5,.0028444775
1941m6,.0024762214
1941m7,.0025036491
1941m8,.0025322712
1941m9,.0022203487
1941m10,.0019818738
1941m11,.0022366662
1941m12,.0020577221
1942m1,.0022405752
1942m2,.0019616191
1942m3,.0018690797
1942m4,.002382603
1942m5,.0024416607
1942m6,.002489622
1942m7,.0022205496
1942m8,.0020445902
1942m9,.0018099247
1942m10,.0016427858
1942m11,.0019482225
1942m12,.0017204063
1943m1,.0017757596
1943m2,.0021122878
1943m3,.0022414159
1943m4,.0023304005
1943m5,.0020374467
1943m6,.0021211223
1943m7,.0018750775
1943m8,.0020712304
1943m9,.0018221632
1943m10,.0016433903
1943m11,.0015084912
1943m12,.0019507655
1944m1,.002136088
1944m2,.0018855731
1944m3,.0016643599
1944m4,.001512843
1944m5,.0014305828
1944m6,.0015252975
1944m7,.0016562095
1944m8,.0015387231
