"date","r_f_t"
"1926m7","0.0022"
"1926m8","0.0025"
"1926m9","0.0023"
"1926m10","0.0032"
"1926m11","0.0031"
"1926m12","0.0028"
"1927m1","0.0025"
"1927m2","0.0026"
"1927m3","0.003"
"1927m4","0.0025"
"1927m5","0.003"
"1927m6","0.0026"
"1927m7","0.003"
"1927m8","0.0028"
"1927m9","0.0021"
"1927m10","0.0025"
"1927m11","0.0021"
"1927m12","0.0022"
"1928m1","0.0025"
"1928m2","0.0033"
"1928m3","0.0029"
"1928m4","0.0022"
"1928m5","0.0032"
"1928m6","0.0031"
"1928m7","0.0032"
"1928m8","0.0032"
"1928m9","0.0027"
"1928m10","0.0041"
"1928m11","0.0038"
"1928m12","0.0006"
"1929m1","0.0034"
"1929m2","0.0036"
"1929m3","0.0034"
"1929m4","0.0036"
"1929m5","0.0044"
"1929m6","0.0052"
"1929m7","0.0033"
"1929m8","0.004"
"1929m9","0.0035"
"1929m10","0.0046"
"1929m11","0.0037"
"1929m12","0.0037"
"1930m1","0.0014"
"1930m2","0.003"
"1930m3","0.0035"
"1930m4","0.0021"
"1930m5","0.0026"
"1930m6","0.0027"
"1930m7","0.002"
"1930m8","0.0009"
"1930m9","0.0022"
"1930m10","0.0009"
"1930m11","0.0013"
"1930m12","0.0014"
"1931m1","0.0015"
"1931m2","0.0004"
"1931m3","0.0013"
"1931m4","0.0008"
"1931m5","0.0009"
"1931m6","0.0008"
"1931m7","0.0006"
"1931m8","0.0003"
"1931m9","0.0003"
"1931m10","0.001"
"1931m11","0.0017"
"1931m12","0.0012"
"1932m1","0.0023"
"1932m2","0.0023"
"1932m3","0.0016"
"1932m4","0.0011"
"1932m5","0.0006"
"1932m6","0.0002"
"1932m7","0.0003"
"1932m8","0.0003"
"1932m9","0.0003"
"1932m10","0.0002"
"1932m11","0.0002"
"1932m12","0.0001"
"1933m1","0.0001"
"1933m2","-0.0003"
"1933m3","0.0004"
"1933m4","0.001"
"1933m5","0.0004"
"1933m6","0.0002"
"1933m7","0.0002"
"1933m8","0.0003"
"1933m9","0.0002"
"1933m10","0.0001"
"1933m11","0.0002"
"1933m12","0.0002"
"1934m1","0.0005"
"1934m2","0.0002"
"1934m3","0.0002"
"1934m4","0.0001"
"1934m5","0.0001"
"1934m6","0.0001"
"1934m7","0.0001"
"1934m8","0.0001"
"1934m9","0.0001"
"1934m10","0.0001"
"1934m11","0.0001"
"1934m12","0.0001"
"1935m1","0.0001"
"1935m2","0.0002"
"1935m3","0.0001"
"1935m4","0.0001"
"1935m5","0.0001"
"1935m6","0.0001"
"1935m7","0.0001"
"1935m8","0.0001"
"1935m9","0.0001"
"1935m10","0.0001"
"1935m11","0.0002"
"1935m12","0.0001"
"1936m1","0.0001"
"1936m2","0.0001"
"1936m3","0.0002"
"1936m4","0.0002"
"1936m5","0.0002"
"1936m6","0.0003"
"1936m7","0.0001"
"1936m8","0.0002"
"1936m9","0.0001"
"1936m10","0.0002"
"1936m11","0.0001"
"1936m12","0"
"1937m1","0.0001"
"1937m2","0.0002"
"1937m3","0.0001"
"1937m4","0.0003"
"1937m5","0.0006"
"1937m6","0.0003"
"1937m7","0.0003"
"1937m8","0.0002"
"1937m9","0.0004"
"1937m10","0.0002"
"1937m11","0.0002"
"1937m12","0"
"1938m1","0"
"1938m2","0"
"1938m3","-0.0001"
"1938m4","0.0001"
"1938m5","0"
"1938m6","0"
"1938m7","-0.0001"
"1938m8","0"
"1938m9","0.0002"
"1938m10","0.0001"
"1938m11","-0.0006"
"1938m12","0"
"1939m1","-0.0001"
"1939m2","0.0001"
"1939m3","-0.0001"
"1939m4","0"
"1939m5","0.0001"
"1939m6","0.0001"
"1939m7","0"
"1939m8","-0.0001"
"1939m9","0.0001"
"1939m10","0"
"1939m11","0"
"1939m12","0"
"1940m1","0"
"1940m2","0"
"1940m3","0"
"1940m4","0"
"1940m5","-0.0002"
"1940m6","0"
"1940m7","0.0001"
"1940m8","-0.0001"
"1940m9","0"
"1940m10","0"
"1940m11","0"
"1940m12","0"
"1941m1","-0.0001"
"1941m2","-0.0001"
"1941m3","0.0001"
"1941m4","-0.0001"
"1941m5","0"
"1941m6","0"
"1941m7","0.0003"
"1941m8","0.0001"
"1941m9","0.0001"
"1941m10","0"
"1941m11","0"
"1941m12","0.0001"
"1942m1","0.0002"
"1942m2","0.0001"
"1942m3","0.0001"
"1942m4","0.0001"
"1942m5","0.0003"
"1942m6","0.0002"
"1942m7","0.0003"
"1942m8","0.0003"
"1942m9","0.0003"
"1942m10","0.0003"
"1942m11","0.0003"
"1942m12","0.0003"
"1943m1","0.0003"
"1943m2","0.0003"
"1943m3","0.0003"
"1943m4","0.0003"
"1943m5","0.0003"
"1943m6","0.0003"
"1943m7","0.0003"
"1943m8","0.0003"
"1943m9","0.0003"
"1943m10","0.0003"
"1943m11","0.0003"
"1943m12","0.0003"
"1944m1","0.0003"
"1944m2","0.0003"
"1944m3","0.0002"
"1944m4","0.0003"
"1944m5","0.0003"
"1944m6","0.0003"
